Ref,Project name,Country,Date online,Decomission date,Status,Technology,Technology_details,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Announced Size,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,"IEA zero-carbon estimated normalized capacity
[Nm³ H₂/hour]",References,LOWE_CF
3,H2GO Energy Park Oude-Tonge - 1st phase,NLD,2023.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,2.5MW,2.5,555.5555555555555,0.4331333333333333,,555.5555555555555,[503][630][609],0.5
4,H2GO Energy Park Oude-Tonge - 2nd phase,NLD,2030.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,26MW,23.5,5222.222222222223,4.071453333333333,,5222.222222222223,[503][630][609],0.5
11,Green Hysland Mallorca - Phase 1,ESP,2022.0,,Operational,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,1.0,,,,,,,2.5 MW,2.5,480.7692307692308,0.37482692307692306,,480.7692307692308,[317] [319] [594] [682] [691] [692][1239],0.3
12,Power to Green H2 Mallorca (GREEN HYSLAND) - Phase 2,ESP,2025.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,1.0,,,,,,,10,7.5,1666.6666666666667,1.2994,,1666.6666666666667,[317] [319] [612] [682] [691],0.3
16,Fukushima Hydrogen Energy Research Field,JPN,2020.0,2023.0,Operational,ALK,,Dedicated renewable,Solar PV,H2,,,,,,1.0,1.0,,,,,,,,10 MW,10.0,2173.913043478261,1.6948695652173913,,2173.913043478261,[58] [135] [326] [327] [328],0.3
17,Hydrospider - St Gallen,CHE,2020.0,,Operational,PEM,,Dedicated renewable,Hydropower,H2,,,,,,1.0,,,,,,,,,2 MW,2.0,384.61538461538464,0.2998615384615385,,384.61538461538464,[239] [354] [546],0.8
18,"Apex Energy, Rostock-Laage",DEU,2021.0,,Operational,ALK,,Grid,,H2,,,,,,1.0,,,1.0,,,,,,2 MW,2.0,434.7826086956522,0.33897391304347824,,434.7826086956522,[577][578],0.57
19,Leuchtturmprojekt Power-to-Gas Baden-Württemberg,DEU,2020.0,,Operational,PEM,,Dedicated renewable,Hydropower,H2,,,,,,1.0,,,,,,,,,1.3 MW,1.3,250.00000000000003,0.19491,,250.00000000000003,[435] [545],0.8
20,eFarm (5 production sites in North Frisia),DEU,2020.0,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,1.125 MW,1.125,216.34615384615387,0.1686721153846154,,216.34615384615387,[236] [355][585],0.4
22,Hydrogen plant - Orkney Islands - BIG HIT 2n phase,GBR,2019.0,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,1.0,1.0,,1.0,,,,,1 MW,1.0,192.30769230769232,0.14993076923076926,,192.30769230769232,[383] [547],0.4
29,H2One - Tsuruga City,JPN,2020.0,,Operational,PEM,,Grid,,H2,,,,,,1.0,,,,,,,,,1 Nm3/h,0.0052,1.0,0.00077964,,1.0,[550],0.57
31,Guangdong Synergy Hydrogen Power Technology Co. 1st phase,CHN,2019.0,,Operational,PEM,,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,4 MW,4.0,769.2307692307693,0.599723076923077,,769.2307692307693,[352],0.5
38,Parnu refuelling station,EST,2019.0,,Operational,ALK,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,1 MW - 200m3 H2/h,1.0,217.3913043478261,0.16948695652173912,,217.3913043478261,,0.57
40,"H2Nodes, Riga",EST,2019.0,,Operational,PEM,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,140 Nm3 H2/h,0.728,140.0,0.10914959999999999,,140.0,[390] [391] [437],0.57
41,Houdain bus station HRS (TADAO/Bulle 6 SMTAG),FRA,2019.0,,Operational,ALK,,Grid,,H2,,,,,,1.0,,,,,,,,,0.5 MW,0.5,108.69565217391305,0.08474347826086956,,108.69565217391305,,0.57
